FIELD,DESCRIPTION,SF,UNITS,DIM1,DIM2,DIM3,TYPE,TYPE SIZE,FIELD SIZE,OFFSET,,,
RECORD_HEADER,Generic Record Header,,,1,1,1,REC_HEAD,20,20,0,,,
,GENERIC QUALITY INDICATORS,,,,,,,,,,,,
DEGRADED_INST_MDR,Quality of MDR has been degraded from nominal due to an instrument degradation,NA,NA,1,1,1,boolean,1,1,20,,,
DEGRADED_PROC_MDR,Quality of MDR has been degraded from nominal due to a processing degradation,NA,NA,1,1,1,boolean,1,1,21,,,
MEASUREMENT DATA,,,,,,,,,,22,,,
SCENE_RADIANCE,Scene radiance (channels 1-15) (View 1 - 30),7,mW/m2/sr/cm-1,15,30,1,integer4,4,1800,22,,,
FOV_DATA_QUALITY,FOV data quality flags. (all bits off implies acceptable data)  - bit 15-1: bit n set to 1 if scene radiance for channel n is physically unreasonable or has not been calculated due to calibration problems. -bit 0 not used,0,NA,1,1,1,bitst(16),2,2,1822,,,
,NAVIGATION DATA AT SCAN LINE,,,,,,,,,1824,,,
TIME_ATTITUDE,Time Associated with Attitude Angles,0,s,1,1,1,u-integer4,4,4,1824,,,
EULER_ANGLE,"Euler Angles: Roll, Pitch, Yaw",3,deg,3,1,1,integer2,2,6,1828,,,
NAVIGATION_STATUS,Navigation Status Bit Field,0,N/A,1,1,1,bitst(32),4,4,1834,,,
SPACECRAFT_ALTITUDE,Spacecraft Altitude Above Reference Geoid (MSL) ,1,km,1,1,1,u-integer4,4,4,1838,,,
ANGULAR_RELATION,"Angular relationships: solar zenith angle, satellite zenith angle, solar azimuth angle, satellite azimuth angle - (points 1 to 30). Note: azimuth angle range is -180 to +180, where minus is west and plus is east.",2,deg,4,30,1,integer2,2,240,1842,,,
EARTH_LOCATION,"Earth Location: latitude, longitude (point 1 to 30)",4,deg,2,30,1,integer4,4,240,2082,,,
SURFACE_PROPERTIES ,"Surface property(0 = water, 1 = mixed/coast, 2 = land) (point 1 to 30)",,,30,1,1,integer2,2,60,2322,,,
TERRAIN_ELEVATION,Average terrain elevation (point 1 to 30),,m,30,1,1,integer2,2,60,2382,,,
,Quality Indicators,,,,,,,,,2442,,,
QUALITY_INDICATOR,Quality Indicator Bit Field,0,N/A,1,1,1,bitst(32),4,4,2442,,,
SCAN_LINE_QUALITY,Scan Line Quality Flags,0,N/A,1,1,1,bitst(32),4,4,2446,,,
DATA_CALIBRATION,Noise-Equivalent Delta T and Channel Quality Flags,0,N/A,16,1,1,DATA_CALQUAL,2,32,2450,,,
,Calibration Coefficients,,,,,,,,,2482,,,
PRIMARY_CALIBRATION,"Primary Calibration  a2 - a0,   ch 1 - 15","a2=19
a1=13
a0=9","a2 = mW/m2/sr/cm-1/cnt^2
a1 = mW/m2/sr/cm-1/cnt
a0=mW/m2/sr/cm-1",3,15,1,integer4,4,180,2482,,,
SPARE_CALIBRATION,"Spare Calibration a2 - a0,  ch 1 - 15","a2=19
a1=13
a0=9","a2 = mW/m2/sr/cm-1/cnt^2
a1 = mW/m2/sr/cm-1/cnt
a0=mW/m2/sr/cm-1",3,15,1,integer4,4,180,2662,,,
INSTRUMENT STATE,,,,,,,,,,2842,,,
INSTRUMENT_STATUS_A1,Instrument status:   AMSU-A1,0,N/A,1,1,1,bitst(16),2,2,2842,,,
INSTRUMENT_STATUS_A2,Instrument status:   AMSU-A2 ,0,N/A,1,1,1,bitst(16),2,2,2844,,,
Raw Reflector Position Data,,,,,,,,,,2846,,,
REFLECTOR_A11_POSITION,"Reflector A1-1 measurement position, reading 1 and 2 (Earth view 1-30)",0,counts,2,30,1,u-integer2,2,120,2846,,,
REFLECTOR_A12_POSITION,"Reflector A1-2 measurement position, reading 1 and 2 (Earth view 1-30)",0,counts,2,30,1,u-integer2,2,120,2966,,,
REFLECTOR_A2_POSITION,"Reflector A2 measurement position, reading 1 and 2 (Earth view 1-30)",0,counts,2,30,1,u-integer2,2,120,3086,,,
REFLECTOR_A11_COLD_POSITION,"Reflector A1-1 cold calibration position, reading 1 and 2 ",0,counts,2,1,1,u-integer2,2,4,3206,,,
REFLECTOR_A12_COLD_POSITION,"Reflector A1-2 cold calibration position, reading 1 and 2 ",0,counts,2,1,1,u-integer2,2,4,3210,,,
REFLECTOR_A2_COLD_POSITION,"Reflector A2 cold calibration position, reading 1 and 2",0,counts,2,1,1,u-integer2,2,4,3214,,,
REFLECTOR_A11_WARM_POSITION,"Reflector A1-1 warm calibration position, reading 1 and 2 ",0,counts,2,1,1,u-integer2,2,4,3218,,,
REFLECTOR_A12_WARM_POSITION,"Reflector A1-2 warm calibration position, reading 1 and 2 ",0,counts,2,1,1,u-integer2,2,4,3222,,,
REFLECTOR_A2_WARM_POSITION,"Reflector A2 warm calibration position,  reading 1 and 2",0,counts,2,1,1,u-integer2,2,4,3226,,,
AMSU-A1 Temperature Sensor Data,,,,,,,,,,3230,,,
A11_SCAN_MOTOR_TEMPERATURE_DATA,A1-1 scan motor temperature,0,counts,1,1,1,u-integer2,2,2,3230,,,
A12_SCAN_MOTOR_TEMPERATURE_DATA,A1-2 scan motor temperature,0,counts,1,1,1,u-integer2,2,2,3232,,,
A11_FEED_HORN_TEMPERATURE_DATA,A1-1 feed horn temperature,0,counts,1,1,1,u-integer2,2,2,3234,,,
A12_FEED_HORN_TEMPERATURE_DATA,A1-2 feed horn temperature,0,counts,1,1,1,u-integer2,2,2,3236,,,
A11_RF_MUX_TEMPERATURE_DATA,A1-1 RF mux temperature,0,counts,1,1,1,u-integer2,2,2,3238,,,
A12_RF_MUX_TEMPERATURE_DATA,A1-2 RF mux temperature,0,counts,1,1,1,u-integer2,2,2,3240,,,
OSCILLATOR_TEMPERATURE_CH3TO8_DATA,Local oscillator temperature (ch 3-8),0,counts,6,1,1,u-integer2,2,12,3242,,,
OSCILLATOR_TEMPERATURE_CH15_DATA,Local oscillator temperature (ch 15),0,counts,1,1,1,u-integer2,2,2,3254,,,
PLLO2_TEMPERATURE_CH9TO14_DATA,PLLO#2 temperature ( one value for ch 9-14),0,counts,1,1,1,u-integer2,2,2,3256,,,
PLLO1_TEMPERATURE_CH9TO14_DATA,PLLO#1 temperature (one value for ch 9-14),0,counts,1,1,1,u-integer2,2,2,3258,,,
PLLO_REFERENCE_TEMPERATURE_DATA,PLLO (reference oscillator) temperature,0,counts,1,1,1,u-integer2,2,2,3260,,,
MIXER_AMPLIFIER_TEMPERATURE_CH3TO8_DATA,Mixer/IF amplifier temperature (ch 3-8),0,counts,6,1,1,u-integer2,2,12,3262,,,
MIXER_AMPLIFIER_TEMPERATURE_CH9TO14_DATA,Mixer/IF amplifier temperature (ch 9/14) ,0,counts,1,1,1,u-integer2,2,2,3274,,,
MIXER_AMPLIFIER_TEMPERATURE_CH15_DATA,Mixer/IF amplifier temperature (ch 15),0,counts,1,1,1,u-integer2,2,2,3276,,,
IF_AMPLIFIER_TEMPERATURE_CH11TO14_DATA,IF amplifier temperature (ch 11/14),0,counts,1,1,1,u-integer2,2,2,3278,,,
IF_AMPLIFIER_TEMPERATURE_CH9TO11_DATA,IF amplifier temperature (ch 9-11),0,counts,3,1,1,u-integer2,2,6,3280,,,
DC_CONVERTER_TEMPERATURE_DATA,DC/DC converter temperature,0,counts,1,1,1,u-integer2,2,2,3286,,,
IF_AMPLIFIER_TEMPERATURE_CH13TO14_DATA,IF amplifier temperature (ch 13-14),0,counts,2,1,1,u-integer2,2,4,3288,,,
IF_AMPLIFIER_TEMPERATURE_CH12_DATA,IF amplifier temperature (ch 12),0,counts,1,1,1,u-integer2,2,2,3292,,,
A11_RF_SHELF_TEMPERATURE_DATA,A1-1 RF shelf temperature,0,counts,1,1,1,u-integer2,2,2,3294,,,
A12_RF_SHELF_TEMPERATURE_DATA,A1-2 RF shelf temperature,0,counts,1,1,1,u-integer2,2,2,3296,,,
DETECTOR_PREAMPLIFIER_TEMPERATURE_DATA,Detector/preamp assembly temperature,0,counts,1,1,1,u-integer2,2,2,3298,,,
A11_WARM_TEMPERATURE_PRT1TO5_DATA,A1-1 warm target temp (PRT 1-4 and center 5),0,counts,5,1,1,u-integer2,2,10,3300,,,
A12_WARM_TEMPERATURE_PRT1TO5_DATA,A1-2 warm target temp (PRT 1-4 and center 5),0,counts,5,1,1,u-integer2,2,10,3310,,,
REFERENCE_ VOLTAGE_DATA,Reference voltage,0,counts,1,1,1,u-integer2,2,2,3320,,,
AMSU-A1 Digital B Telemetry Flags ,,,,,,,,,,3322,,,
AMSU_A1_INVALID_DIGITALB_WORD_FLAG,"Invalid word bit flags: (if bit=0, associated AMSU-A1 digital B  telemetry data in following field is valid)",0,N/A,1,1,1,bitst(16),2,2,3322,,,
AMSU_A1_DIGITALB_DATA,AMSU-A1 digital B telemetry data flags,0,N/A,1,1,1,bitst(16),2,2,3324,,,
AMSU-A1 Analog Housekeeping Data ,,,,,,,,,,3326,,,
AMSU_A1_INVALID_ANALOG_WORD_FLAG,"Invalid word bit flags:(if bit=0, associated AMSU-A1 analog housekeeping telemetry word in following fields is valid)",0,N/A,1,1,1,bitst(32),4,4,3326,,,
A11_SCANNER_MOTOR_TEMPERATURE,A1-1 scanner motor temperature,0,counts,1,1,1,u-integer2,2,2,3330,,,
A12_SCANNER_MOTOR_TEMPERATURE,A1-2 scanner motor temperature,0,counts,1,1,1,u-integer2,2,2,3332,,,
A11_RF_SHELF_TEMPERATURE,A1-1 RF shelf temperature,0,counts,1,1,1,u-integer2,2,2,3334,,,
A12_RF_SHELF_TEMPERATURE,A1-2 RF shelf temperature,0,counts,1,1,1,u-integer2,2,2,3336,,,
A11_WARM_TEMPERATURE,A1-1 warm load temperature,0,counts,1,1,1,u-integer2,2,2,3338,,,
A12_WARM_TEMPERATURE,A1-2 warm load temperature,0,counts,1,1,1,u-integer2,2,2,3340,,,
A11_ANTENNA_DRIVE_MOTOR_TEMPERATURE,A1-1 antenna drive motor current (Avg),0,counts,1,1,1,u-integer2,2,2,3342,,,
A12_ANTENNA_DRIVE_MOTOR_TEMPERATURE,A1-2 antenna drive motor current (Avg),0,counts,1,1,1,u-integer2,2,2,3344,,,
PLUS15_SIGNAL_PROCESSING,+15V signal processing,0,counts,1,1,1,u-integer2,2,2,3346,,,
PLUS15_ANTENNA_DRIVE,+15V antenna drive,0,counts,1,1,1,u-integer2,2,2,3348,,,
MINUS15_SIGNAL_PROCESSING,-15V signal processing,0,counts,1,1,1,u-integer2,2,2,3350,,,
MINUS15_ANTENNA_DRIVE,-15V antenna drive,0,counts,1,1,1,u-integer2,2,2,3352,,,
PLUS8_RECEIVER_AMPLIFIER,+8V receiver amplifier,0,counts,1,1,1,u-integer2,2,2,3354,,,
PLUS5_SIGNAL_PROCESSING,+5V signal processing,0,counts,1,1,1,u-integer2,2,2,3356,,,
PLUS5_ANTENNA_DRIVE,+5V antenna drive,0,counts,1,1,1,u-integer2,2,2,3358,,,
PLUS15_PHASE_LOCK_CH9TO14,+15V phase lock loop (ch 9/14),0,counts,1,1,1,u-integer2,2,2,3360,,,
MINUS15_PHASE_LOCK_CH9TO14,-15V phase lock loop (ch 9/14),0,counts,1,1,1,u-integer2,2,2,3362,,,
GDO_VOLTAGE_CH3,GDO Voltage 50.3 GHz (ch 3),0,counts,1,1,1,u-integer2,2,2,3364,,,
GDO_VOLTAGE_CH4,GDO Voltage 52.8 GHz (ch 4),0,counts,1,1,1,u-integer2,2,2,3366,,,
GDO_VOLTAGE_CH5,GDO Voltage 53.596 GHz (ch 5),0,counts,1,1,1,u-integer2,2,2,3368,,,
GDO_VOLTAGE_CH6,GDO Voltage 54.4 GHz (ch 6),0,counts,1,1,1,u-integer2,2,2,3370,,,
GDO_VOLTAGE_CH7,GDO Voltage 54.94 GHz (ch 7),0,counts,1,1,1,u-integer2,2,2,3372,,,
GDO_VOLTAGE_CH8,GDO Voltage 55.5 GHz (ch 8),0,counts,1,1,1,u-integer2,2,2,3374,,,
PLLO_PRIMAY_LOCK,PLLO primary lock detect,0,counts,1,1,1,u-integer2,2,2,3376,,,
PLLO_REDUNDANT_LOCK,PLLO redundant lock detect,0,counts,1,1,1,u-integer2,2,2,3378,,,
GDO_VOLTAGE_CH15,GDO Voltage 89.0 GHz (ch 15),0,counts,1,1,1,u-integer2,2,2,3380,,,
AMSU-A2 Temperature Sensor Data,,,,,,,,,,3382,,,
A2_SCAN_MOTOR_TEMPERATURE,A2 scan motor temperature,0,counts,1,1,1,u-integer2,2,2,3382,,,
A2_FEED_HORN_TEMPERATURE,A2 feed horn temperature,0,counts,1,1,1,u-integer2,2,2,3384,,,
A2_RF_MUX_TEMPERATURE,A2 RF mux temperature,0,counts,1,1,1,u-integer2,2,2,3386,,,
A2_MIXER_AMPLIFIER_TEMPERATURE,A2 Mixer/IF amplifier temperature (ch 1-2),0,counts,2,1,1,u-integer2,2,4,3388,,,
A2_OSCILLATOR_TEMPERATURE_CH1TO2,A2 Local oscillator temperature (ch 1-2),0,counts,2,1,1,u-integer2,2,4,3392,,,
A2_COMPENSATION_MOTOR_TEMPERATURE,A2 Compensation motor temperature,0,counts,1,1,1,u-integer2,2,2,3396,,,
A2_SUBREFLECTOR_TEMPERATURE,A2 subreflector temperature,0,counts,1,1,1,u-integer2,2,2,3398,,,
A2_DC_CONVERTER_TEMPERATURE,A2 DC/DC converter temperature,0,counts,1,1,1,u-integer2,2,2,3400,,,
A2_RF_SHELF_TEMPERATURE,A2 RF shelf temperature,0,counts,1,1,1,u-integer2,2,2,3402,,,
A2_DETECTOR_PREAMPLIFIER_TEMPERATURE,Detector/preamp assembly temperature,0,counts,1,1,1,u-integer2,2,2,3404,,,
A2_WARM_TEMPERATURE_PRT1TO7,A2 warm target temp (PRT 1-6 and center 7),0,counts,7,1,1,u-integer2,2,14,3406,,,
A2_REFERENCE_VOLTAGE,Reference voltage,0,counts,1,1,1,u-integer2,2,2,3420,,,
AMSU-A2 Digital B Telemetry Flags,,,,,,,,,,3422,,,
AMSU_A2_INVALID_WORD_FLAG,"Invalid word bit flags:(if bit=0, associated AMSU-A2 digital B  telemetry data in following field is valid)",0,N/A,1,1,1,bitst(16),2,2,3422,,,
AMSU_A2_DIGITALB_FLAG,AMSU-A2 digital B telemetry data flags,0,N/A,1,1,1,bitst(16),2,2,3424,,,
AMSU-A2 Analog Housekeeping Data ,,,,,,,,,,3426,,,
AMSU_A2_INVALID_ANALOG_WORD_FLAG,"Invalid word bit flags: (if bit=0, associated AMSU-A2 analog housekeeping telemetry word in following fields is valid)",0,N/A,1,1,1,bitst(32),4,4,3426,,,
A2_ANALOG_SCANNER_MOTOR_TEMPERATURE,A2 scanner motor temperature,0,counts,1,1,1,u-integer2,2,2,3430,,,
A2_ANALOG_COMPENSATOR_MOTOR_TEMPERATURE,A2 Compensator motor temperature,0,counts,1,1,1,u-integer2,2,2,3432,,,
A2_ANALOG_RF_SHELF_TEMPERATURE,A2 RF shelf temperature,0,counts,1,1,1,u-integer2,2,2,3434,,,
A2_ANALOG_WARM_TEMPERATURE,A2 warm load temperature,0,counts,1,1,1,u-integer2,2,2,3436,,,
A2_ANALOG_COMENSATOR_MOTOR_CURRENT,Compensator motor current (Avg),0,counts,1,1,1,u-integer2,2,2,3438,,,
A2_ANALOG_ANTENNA-DRIVE_MOTOR_CURRENT,A2 antenna drive motor current (Avg),0,counts,1,1,1,u-integer2,2,2,3440,,,
A2_ANALOG_PLUS15_SIGNAL_PROCESSING,+15V signal processing,0,counts,1,1,1,u-integer2,2,2,3442,,,
A2_ANALOG_PLUS15_ANTENNA-DRIVE,+15V antenna drive,0,counts,1,1,1,u-integer2,2,2,3444,,,
A2_ANALOG_MINUS15_SIGNAL_PROCESSING,-15V signal processing,0,counts,1,1,1,u-integer2,2,2,3446,,,
A2_ANALOG_MINUS15_ANTENNA-DRIVE,-15V antenna drive,0,counts,1,1,1,u-integer2,2,2,3448,,,
A2_ANALOG_PLU10_RECEIVER,+10V receiver ,0,counts,1,1,1,u-integer2,2,2,3450,,,
A2_ANALOG_PLUS5_SIGNAL_PROCESSING,+5V signal processing,0,counts,1,1,1,u-integer2,2,2,3452,,,
A2_ANALOG_PLUS5_ANTENNA-DRIVE,+5V antenna drive,0,counts,1,1,1,u-integer2,2,2,3454,,,
A2_ANALOG_GDO_VOLTAGE_CH1,GDO Voltage 23.8 GHz (ch 1),0,counts,1,1,1,u-integer2,2,2,3456,,,
A2_ANALOG_GDO_VOLTAGE_CH2,GDO Voltage 31.4 GHz (ch 2),0,counts,1,1,1,u-integer2,2,2,3458,,,
MOON DATA,,,,,,,,,,3460,,,
AMSU_A1_LUNAR_ANGLE,Angle between moon and space view for AMSU-A1,2,degrees,1,1,1,integer2,2,2,3460,,,
AMSU_A2_LUNAR_ANGLE,Angle between moon and space view for AMSU-A2,2,degrees,1,1,1,integer2,2,2,3462,,,
SIZE OF THE MDR ,,,,,,,,,,3464,,,
